Date,Strike price,Close,Expiration
2018-08-10,10900,544.75,20
2018-08-13,10900,490.4,17
2018-08-14,10900,567.45,16
2018-08-16,10900,517.2,14
2018-08-17,10900,590.05,13
2018-08-20,10900,674.95,10
2018-08-21,10900,682.85,9
2018-08-23,10900,684.85,7
2018-08-24,10900,664.15,6
2018-08-27,10900,798.5,3
2018-08-28,10900,839.05,2
2018-08-29,10900,797.1,1
2018-08-30,10900,768.05,0
2018-07-17,10950,223.15,44
2018-07-18,10950,208.0,43
2018-07-19,10950,197.35,42
2018-07-20,10950,234.6,41
2018-07-23,10950,270.25,38
2018-07-24,10950,290.0,37
2018-07-25,10950,292.85,36
2018-07-26,10950,310.15,35
2018-07-27,10950,400.45,34
2018-07-30,10950,421.9,31
2018-07-31,10950,445.6,30
2018-08-02,10950,382.0,28
2018-08-03,10950,429.95,27
2018-08-06,10950,482.0,24
2018-08-07,10950,474.0,23
2018-08-08,10950,530.0,22
2018-08-10,10950,506.0,20
2018-08-13,10950,442.95,17
2018-08-14,10950,520.0,16
2018-08-16,10950,457.0,14
2018-08-20,10950,615.5,10
2018-08-21,10950,610.0,9
2018-08-23,10950,620.0,7
2018-08-24,10950,615.0,6
2018-08-27,10950,705.0,3
2018-08-28,10950,785.0,2
2018-08-29,10950,769.05,1
2018-08-30,10950,720.5,0
2018-07-17,11000,192.2,44
2018-07-18,11000,176.05,43
2018-07-19,11000,167.8,42
2018-07-20,11000,199.05,41
2018-07-23,11000,236.35,38
2018-07-24,11000,259.4,37
2018-07-25,11000,250.7,36
2018-07-26,11000,274.45,35
2018-07-27,11000,359.9,34
2018-07-30,11000,382.55,31
2018-07-31,11000,409.65,30
2018-08-01,11000,405.7,29
2018-08-02,11000,332.0,28
2018-08-03,11000,419.75,27
2018-08-06,11000,434.95,24
2018-08-07,11000,436.1,23
2018-08-08,11000,480.9,22
2018-08-09,11000,498.75,21
2018-08-10,11000,452.25,20
2018-08-13,11000,399.8,17
2018-08-14,11000,473.45,16
2018-08-16,11000,421.95,14
2018-08-17,11000,499.95,13
2018-08-20,11000,579.3,10
2018-08-21,11000,585.75,9
2018-08-23,11000,590.9,7
2018-08-24,11000,565.65,6
2018-08-27,11000,698.9,3
2018-08-28,11000,745.55,2
2018-08-29,11000,706.3,1
2018-08-30,11000,669.0,0
2018-07-17,11050,165.5,44
2018-07-18,11050,154.1,43
2018-07-19,11050,145.9,42
2018-07-20,11050,170.25,41
2018-07-23,11050,204.15,38
2018-07-24,11050,222.25,37
2018-07-25,11050,211.75,36
2018-07-26,11050,237.25,35
2018-07-27,11050,320.45,34
2018-07-30,11050,336.45,31
2018-07-31,11050,363.6,30
2018-08-01,11050,349.6,29
2018-08-02,11050,286.0,28
2018-08-03,11050,372.3,27
2018-08-06,11050,380.0,24
2018-08-07,11050,389.1,23
2018-08-08,11050,418.5,22
2018-08-09,11050,448.3,21
2018-08-10,11050,428.0,20
2018-08-13,11050,348.7,17
2018-08-14,11050,430.0,16
2018-08-16,11050,405.45,14
2018-08-20,11050,518.0,10
2018-08-21,11050,540.0,9
2018-08-23,11050,540.0,7
2018-08-24,11050,518.65,6
2018-08-27,11050,642.4,3
2018-08-28,11050,677.9,2
2018-08-29,11050,653.35,1
2018-08-30,11050,626.1,0
2018-07-17,11100,139.5,44
2018-07-18,11100,126.3,43
2018-07-19,11100,120.2,42
2018-07-20,11100,143.2,41
2018-07-23,11100,173.1,38
2018-07-24,11100,191.0,37
2018-07-25,11100,183.1,36
2018-07-26,11100,206.2,35
2018-07-27,11100,281.65,34
2018-07-30,11100,301.8,31
2018-07-31,11100,324.45,30
2018-08-01,11100,321.55,29
2018-08-02,11100,250.1,28
2018-08-03,11100,333.75,27
2018-08-06,11100,348.8,24
2018-08-07,11100,347.95,23
2018-08-08,11100,391.05,22
2018-08-09,11100,407.45,21
2018-08-10,11100,361.8,20
2018-08-13,11100,311.5,17
2018-08-14,11100,380.25,16
2018-08-16,11100,331.95,14
2018-08-17,11100,395.75,13
2018-08-20,11100,480.9,10
2018-08-21,11100,487.85,9
2018-08-23,11100,488.55,7
2018-08-24,11100,465.75,6
2018-08-27,11100,600.4,3
2018-08-28,11100,647.85,2
2018-08-29,11100,601.65,1
2018-08-30,11100,562.0,0
